plot_scenario_id,plot_coordinates,geometry,Years,Biodiversity,Biomass dry matter,CO2 e stock,Cumulative balance,Erosion,Labor days,Revenue
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2023,1.25172584,0.083632586,0.142822957,-302.3038106,0.154843564,2489.475779,13957.32142
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2024,1.291692342,0.245170899,0.192479329,5439.36109,0.152507122,2494.968156,14774.90793
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2025,1.316744079,0.360561853,0.30798197,11833.82567,0.150423677,2624.737246,15321.75837
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2026,1.331830539,0.400814792,0.433548993,18354.92888,0.148912866,2459.380537,14261.76689
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2027,1.343097707,0.451481186,0.564501576,24183.90491,0.147416406,3098.601284,13893.72836
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2028,1.975967696,0.637079924,0.757345669,25777.21732,-0.29620893,2162.775742,6762.351273
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2029,1.716481424,0.77383332,0.983261037,25621.30334,0.038317319,1867.364911,6539.335047
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2030,1.397822524,0.6816536,1.139319073,25157.47045,0.140517723,1186.505949,790.7252242
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2031,1.382129215,0.616749144,1.23922495,21734.36827,0.142834537,1527.57449,4584.000977
20,7.027361114975831:35.2677771645296,"POLYGON ((35.26897537700565 7.028183759875129, 35.26873094784199 7.026921221718613, 35.26840619660845 7.027209889481757, 35.26827732707133 7.027168651229879, 35.26831856532321 7.0268387452148575, 35.2680866001564 7.025689228943764, 35.2680866001564 7.025462418558437, 35.26790102802295 7.02558613331407, 35.267632979385745 7.025663455036341, 35.26748864550417 7.02576139588455, 35.267437097689324 7.025833562825336, 35.26730307337072 7.025921194110577, 35.26719997774103 7.026080992336603, 35.26705564385946 7.026199552310752, 35.26696285779273 7.02632842184787, 35.26702471517055 7.0264521366035035, 35.26701956038906 7.0265243035442895, 35.26705048907797 7.026596470485075, 35.26707110820391 7.026879983466735, 35.267014405607576 7.027215044263242, 35.26698863170015 7.027364532926299, 35.266926774322336 7.027416080741146, 35.26691646475937 7.027488247681932, 35.26698863170015 7.027648045907958, 35.26700925082609 7.027751141537653, 35.266998941263125 7.027854237167348, 35.266926774322336 7.027936713671103, 35.26686491694452 7.028060428426736, 35.26685460738155 7.028137750149007, 35.266839143037096 7.028333631845427, 35.26680821434819 7.028452191819575, 35.26679719638026 7.028459832964475, 35.26683028956189 7.028503957206649, 35.26684793925876 7.028563524933583, 35.26697148713684 7.028691485235886, 35.26707297289384 7.028737815690168, 35.26715604056981 7.028824504267216, 35.26717998681469 7.028855292296346, 35.267190249491065 7.0288621340805975, 35.26897537700565 7.028183759875129))",2032,1.374060463,0.529416885,1.283397581,21214.40019,0.143501479,1982.541648,9874.16417
